date,precipitation_mm
2017-04-24,4.456938576845865
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,3.9603330070839644
2017-05-14,1.3478261440017392
2017-05-15,0.0
2017-05-16,3.176273295354464
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,4.176881115590441
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,3.270405820573357
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,2.933570896177351
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-08,0.0
2017-07-09,0.0
2017-07-10,1.972392827614971
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,0.0
2017-07-16,1.4415380682806123
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,3.1694767502532613
2017-08-01,3.462905520785709
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,4.596049652386303
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.9495152845306802
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,4.911331706717413
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,0.0
2017-09-22,0.0
2017-09-23,0.0
2017-09-24,0.0
2017-09-25,1.1171732800498042
2017-09-26,17.631771881110264
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-09-30,0.0
2017-10-01,5.67748365225147
2017-10-02,2.838741826125735
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,3.9634363077890558
2017-10-07,0.0
2017-10-08,7.742452325913678
2017-10-09,1.6471245866450035
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,3.6865692126023686
2017-10-21,2.7483045030335855
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,0.0
2017-10-26,0.09502034414984505
2017-10-27,2.9845208101415936
2017-10-28,0.5874062422415939
2017-10-29,0.0
2017-10-30,0.0
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,0.0
2017-11-03,0.0
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,0.0
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,3.3992425168540823
2017-11-10,10.021526817301543
2017-11-11,10.259528911398327
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,10.259528911398327
2017-11-15,12.060243639452704
2017-11-16,0.0
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,0.28501370731019854
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,10.24146623468104
2017-11-23,2.4597673314952098
2017-11-24,8.028223415479316
2017-11-25,15.974251032929631
2017-11-26,0.0
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,6.106458120278614
2017-11-30,10.6963501701726
2017-12-01,0.0
2017-12-02,2.6602036229916957
2017-12-03,2.6602036229916957
2017-12-04,0.0
2017-12-05,3.2140295762703768
2017-12-06,12.400301850653667
2017-12-07,0.0
2017-12-08,0.0
2017-12-09,0.0
2017-12-10,7.29022454878169
2017-12-11,5.186233622115023
2017-12-12,4.900906936348697
2017-12-13,9.801813872697394
2017-12-14,0.0
2017-12-15,0.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,0.0
2017-12-19,2.655067744453221
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,2.3156540218862576
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.2837055924716616
2017-12-26,0.0
2017-12-27,0.0
